Klf6
Ccbl1
Ncoa7
Cc2d2a
Cep131
Cercam
Slc44a3
Hip1
Gramd1b
Rgl3
Thbs1
Lrp1
Plekha1
Btnl9
Abcb1a
Col16a1
Sh3pxd2b
Camta2
Rcc2
Arhgap11a
Pklr
Mup4
Enc1
Gck
Fam222a
S100a10
2010003K11Rik
Arsb
Klhdc8a
Slc35f2
Zfp532
Dhrs7b
Trafd1
Wdr74
Muc1
Serpinb6b
Zc3h6
Notum
Wdr63
Lacc1
Zbtb7c
Defb1
S1pr5
Cirbp
Zfp423
1190002N15Rik
Thtpa
Whamm
Ing1
Otulin
Ermp1
Gjb2
B430212C06Rik
Rhoj
Ckap4
Nipa1
Zfp358
Flrt2
Inhbe
Adamts12
BC029214
Fbxo40
Sstr2
Tshz2
Col6a3
Msx1
C5ar1
Sorl1
Armcx4
Sarm1
Synpo2
Hamp
Mmp13
Gja1
Prkca
Fam83a
Tceal8
Mest
Ppp6r1
Cx3cr1
Epha3
Map1b
Cysltr1
Jam2
Plxnb1
Klf1
Tprkb
Kcnn4
Tmem119
Zfp771
Cadm4
C1ra
Ntrk2
Clca3a1
Fez2
B4galt6
Prelid2
Inca1
Cml1
Camk2b
Sema3b
Serpina3k
Serpina9
Cxcl2
Col25a1
Eda
Plg
Gm10069
Suv420h2
Mug1
Acnat2
Maml3
Dnaic1
Kalrn
Ssbp3
Ces3b
Fabp4
Kcnc3
Impdh2
Nrg1
Serpina11
Arhgap22
Chd4
Fbln2
Mocs1
Sepp1
Fkbp15
Vps37b
Serpina1a
6030419C18Rik
Hes6
Polr1c
Pi15
Mas1
Lgals1
Zfp467
Myadm
Flnc
Sort1
Ahnak
Sat2
Ces3a
2510002D24Rik
Ang
Tuba1a
Zfp449
Eme2
Pnldc1
Mup11
G430095P16Rik
Phldb3
Ehd2
Heg1
4930594M22Rik
Urad
Msrb1
Sox4
Ighg2b
Ighg1
Mup16
Mup1
H2-Q1
Mup-ps22
5430405H02Rik
Gm15638
Gm13074
Gm15998
B430119L08Rik
Gm16548
Gm13657
Gm11723
Gm16567
Gm6485
Gm17077
BC035947
Cyp2a22
Gm379
Fignl2
H1f0
Smim22
Snhg18
Gm3839
Gm26608
Gm4673
Obox4-ps3
Mrgprb11-ps
Gm10138
Zbtb11os1
Kantr
Gm30097
Gm37928
Gm42604
RP23-306P12.3
RP23-245P16.2
RP23-366O14.5
RP23-350G1.5
RP24-64C6.3
Krt8-ps
